uf,cod._uf,cod_municipio,nome_municipio,populacao
BA,29,0019009,Lajedinho,3610.0
BA,29,0019058,Lajedo Do Tabocal,7683.0
BA,29,0019108,Lamarão,9303.0
BA,29,0019157,Lapão,27014.0
BA,29,0019207,Lauro De Freitas,219564.0
BA,29,0019306,Lençóis,11194.0
BA,29,0019405,Licínio De Almeida,12202.0
BA,29,0019504,Livramento De Nossa Senhora,46376.0
BA,29,0019553,Luís Eduardo Magalhães,118382.0
BA,29,0019603,Macajuba,10740.0
BA,29,0019702,Macarani,22768.0
BA,29,0019801,Macaúbas,43653.0
BA,29,0019900,Macururé,7435.0
BA,29,0019926,Madre De Deus,19224.0
BA,29,0019959,Maetinga,7218.0
BA,29,0020007,Maiquinique,9009.0
BA,29,0020106,Mairi,18130.0
BA,29,0020205,Malhada,15814.0
BA,29,0020304,Malhada De Pedras,8982.0
BA,29,0020403,Manoel Vitorino,14287.0
BA,29,0020452,Mansidão,14542.0
BA,29,0020502,Maracás,29330.0
BA,29,0020601,Maragogipe,37041.0
BA,29,0020700,Maraú,25804.0
BA,29,0020809,Marcionílio Souza,9475.0
BA,29,0020908,Mascote,13918.0
BA,29,0021005,Mata De São João,44962.0
BA,29,0021054,Matina,10611.0
BA,29,0021104,Medeiros Neto,22801.0
BA,29,0021203,Miguel Calmon,25263.0
BA,29,0021302,Milagres,11436.0
BA,29,0021401,Mirangaba,16167.0
BA,29,0021450,Mirante,10526.0
BA,29,0021500,Monte Santo,49807.0
BA,29,0021609,Morpará,8220.0
BA,29,0021708,Morro Do Chapéu,35235.0
BA,29,0021807,Mortugaba,11477.0
BA,29,0021906,Mucugê,12712.0
BA,29,0022003,Mucuri,40114.0
BA,29,0022052,Mulungu Do Morro,13648.0
BA,29,0022102,Mundo Novo,17197.0
BA,29,0022201,Muniz Ferreira,7453.0
BA,29,0022250,Muquém Do São Francisco,10803.0
BA,29,0022300,Muritiba,30180.0
BA,29,0022409,Mutuípe,20590.0
BA,29,0022508,Nazaré,28427.0
BA,29,0022607,Nilo Peçanha,12399.0
BA,29,0022656,Nordestina,19711.0
BA,29,0022706,Nova Canaã,13970.0
BA,29,0022730,Nova Fátima,8283.0
BA,29,0022755,Nova Ibiá,6696.0
BA,29,0022805,Nova Itarana,8073.0
BA,29,0022854,Nova Redenção,7670.0
BA,29,0022904,Nova Soure,24865.0
BA,29,0023001,Nova Viçosa,41629.0
BA,29,0023035,Novo Horizonte,11586.0
BA,29,0023050,Novo Triunfo,11060.0
BA,29,0023100,Olindina,22956.0
BA,29,0023209,Oliveira Dos Brejinhos,21323.0
BA,29,0023308,Ouriçangas,7925.0
BA,29,0023357,Ourolândia,20141.0
BA,29,0023407,Palmas De Monte Alto,20666.0
BA,29,0023506,Palmeiras,10894.0
BA,29,0023605,Paramirim,21025.0
BA,29,0023704,Paratinga,30680.0
BA,29,0023803,Paripiranga,27860.0
BA,29,0023902,Pau Brasil,9537.0
BA,29,0024009,Paulo Afonso,119418.0
BA,29,0024058,Pé De Serra,13677.0
BA,29,0024108,Pedrão,6403.0
BA,29,0024207,Pedro Alexandre,14226.0
BA,29,0024306,Piatã,20938.0
BA,29,0024405,Pilão Arcado,37388.0
BA,29,0024504,Pindaí,15125.0
BA,29,0024603,Pindobaçu,19601.0
BA,29,0024652,Pintadas,10654.0
BA,29,0024678,Piraí Do Norte,11481.0
BA,29,0024702,Piripá,9143.0
BA,29,0024801,Piritiba,17697.0
BA,29,0024900,Planaltino,8239.0
BA,29,0025006,Planalto,24026.0
BA,29,0025105,Poções,50773.0
BA,29,0025204,Pojuca,33573.0
BA,29,0025253,Ponto Novo,18763.0
BA,29,0025303,Porto Seguro,182630.0
BA,29,0025402,Potiraguá,10651.0
BA,29,0025501,Prado,37533.0
BA,29,0025600,Presidente Dutra,15677.0
BA,29,0025709,Presidente Jânio Quadros,12963.0
BA,29,0025758,Presidente Tancredo Neves,29489.0
BA,29,0025808,Queimadas,27429.0
BA,29,0025907,Quijingue,26443.0
BA,29,0025931,Quixabeira,9839.0
BA,29,0025956,Rafael Jambeiro,20081.0
BA,29,0026004,Remanso,42855.0
BA,29,0026103,Retirolândia,14174.0
BA,29,0026202,Riachão Das Neves,22329.0
BA,29,0026301,Riachão Do Jacuípe,35188.0
BA,29,0026400,Riacho De Santana,32060.0
BA,29,0026509,Ribeira Do Amparo,14528.0
BA,29,0026608,Ribeira Do Pombal,56316.0
BA,29,0026657,Ribeirão Do Largo,10029.0
BA,29,0026707,Rio De Contas,13634.0
BA,29,0026806,Rio Do Antônio,13495.0
BA,29,0026905,Rio Do Pires,10781.0
BA,29,0027002,Rio Real,36966.0
BA,29,0027101,Rodelas,10884.0
BA,29,0027200,Ruy Barbosa,29590.0
BA,29,0027309,Salinas Da Margarida,15629.0
BA,29,0027408,Salvador,2564204.0
BA,29,0027507,Santa Bárbara,21787.0
BA,29,0027606,Santa Brígida,15417.0
BA,29,0027705,Santa Cruz Cabrália,31007.0
BA,29,0027804,Santa Cruz Da Vitória,4663.0
BA,29,0027903,Santa Inês,10625.0
BA,29,0028000,Santaluz,40066.0
BA,29,0028059,Santa Luzia,14392.0
BA,29,0028109,Santa Maria Da Vitória,40474.0
BA,29,0028208,Santana,25521.0
BA,29,0028307,Santanópolis,9035.0
BA,29,0028406,Santa Rita De Cássia,28890.0
BA,29,0028505,Santa Terezinha,10882.0
BA,29,0028604,Santo Amaro,58398.0
BA,29,0028703,Santo Antônio De Jesus,109791.0
BA,29,0028802,Santo Estêvão,55146.0
BA,29,0028901,São Desidério,34982.0
